SOC_CODE,OCC_TITLE,A_MEAN
194090,"Miscellaneous Life, Physical, and Social Science Technicians",58530
194092,Forensic Science Technicians,64890
194099,"Life, Physical, and Social Science Technicians, All Other",56830
195000,Occupational Health and Safety Specialists and Technicians,74480
195010,Occupational Health and Safety Specialists and Technicians,74480
195011,Occupational Health and Safety Specialists,78110
195012,Occupational Health and Safety Technicians,57870
210000,Community and Social Service Occupations,52180
211000,"Counselors, Social Workers, and Other Community and Social Service Specialists",52120
211010,Counselors,54780
211012,"Educational, Guidance, and Career Counselors and Advisors",62320
211013,Marriage and Family Therapists,56890
211015,Rehabilitation Counselors,42080
211018,"Substance Abuse, Behavioral Disorder, and Mental Health Counselors",51550
211019,"Counselors, All Other",50800
211020,Social Workers,55950
211021,"Child, Family, and School Social Workers",52370
211022,Healthcare Social Workers,60470
211023,Mental Health and Substance Abuse Social Workers,54540
211029,"Social Workers, All Other",64940
211090,Miscellaneous Community and Social Service Specialists,45390
211091,Health Education Specialists,62120
211092,Probation Officers and Correctional Treatment Specialists,61900
211093,Social and Human Service Assistants,38230
211094,Community Health Workers,46000
211099,"Community and Social Service Specialists, All Other",49600
212000,Religious Workers,53790
212010,Clergy,56560
212011,Clergy,56560
212020,"Directors, Religious Activities and Education",52660
212021,"Directors, Religious Activities and Education",52660
212090,Miscellaneous Religious Workers,40070
212099,"Religious Workers, All Other",40070
230000,Legal Occupations,112320
231000,"Lawyers, Judges, and Related Workers",144970
231010,Lawyers and Judicial Law Clerks,147050
231011,Lawyers,148910
231012,Judicial Law Clerks,63860
231020,"Judges, Magistrates, and Other Judicial Workers",116390
231021,"Administrative Law Judges, Adjudicators, and Hearing Officers",102050
231022,"Arbitrators, Mediators, and Conciliators",76440
231023,"Judges, Magistrate Judges, and Magistrates",131850
232000,Legal Support Workers,57890
232010,Paralegals and Legal Assistants,56610
232011,Paralegals and Legal Assistants,56610
232090,Miscellaneous Legal Support Workers,62150
232093,"Title Examiners, Abstractors, and Searchers",52950
232099,"Legal Support Workers, All Other",73320
250000,Educational Instruction and Library Occupations,59810
251000,Postsecondary Teachers,93330
251010,"Business Teachers, Postsecondary",107270
251011,"Business Teachers, Postsecondary",107270
251020,"Math and Computer Science Teachers, Postsecondary",91450
251021,"Computer Science Teachers, Postsecondary",98680
251022,"Mathematical Science Teachers, Postsecondary",86760
251030,"Engineering and Architecture Teachers, Postsecondary",112110
251031,"Architecture Teachers, Postsecondary",100820
251032,"Engineering Teachers, Postsecondary",114130
251040,"Life Sciences Teachers, Postsecondary",100400
251041,"Agricultural Sciences Teachers, Postsecondary",96200
251042,"Biological Science Teachers, Postsecondary",101320
251043,"Forestry and Conservation Science Teachers, Postsecondary",92420
251050,"Physical Sciences Teachers, Postsecondary",98580
251051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",104710
251052,"Chemistry Teachers, Postsecondary",94630
251053,"Environmental Science Teachers, Postsecondary",94520
251054,"Physics Teachers, Postsecondary",101290
251060,"Social Sciences Teachers, Postsecondary",94270
251061,"Anthropology and Archeology Teachers, Postsecondary",98740
251062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",88790
251063,"Economics Teachers, Postsecondary",123720
251064,"Geography Teachers, Postsecondary",87160
251065,"Political Science Teachers, Postsecondary",100970
251066,"Psychology Teachers, Postsecondary",89960
251067,"Sociology Teachers, Postsecondary",85180
251069,"Social Sciences Teachers, Postsecondary, All Other",85670
251070,"Health Teachers, Postsecondary",115330
251071,"Health Specialties Teachers, Postsecondary",124890
251072,"Nursing Instructors and Teachers, Postsecondary",84060
251080,"Education and Library Science Teachers, Postsecondary",75180
251081,"Education Teachers, Postsecondary",75010
251082,"Library Science Teachers, Postsecondary",77560
251110,"Law, Criminal Justice, and Social Work Teachers, Postsecondary",96870
251111,"Criminal Justice and Law Enforcement Teachers, Postsecondary",74740
251112,"Law Teachers, Postsecondary",134760
251113,"Social Work Teachers, Postsecondary",78110
251120,"Arts, Communications, History, and Humanities Teachers, Postsecondary",83620
251121,"Art, Drama, and Music Teachers, Postsecondary",84780
251122,"Communications Teachers, Postsecondary",80940
251123,"English Language and Literature Teachers, Postsecondary",81340
251124,"Foreign Language and Literature Teachers, Postsecondary",80410
251125,"History Teachers, Postsecondary",85630
251126,"Philosophy and Religion Teachers, Postsecondary",90160
251190,Miscellaneous Postsecondary Teachers,77650
